site	id	path	title
content	10	/treatments-and-enhancements-gemstones/	Treatments
content	10011	/astrological-gemstone-recommendation-for-success-in-various-areas-of-life/	Astrological Gemstone Recommendation for Success in Various Areas of Life
content	10035	/harness-the-celestial-power-of-white-sapphire-gemstone-in-the-usa/	Harness the Celestial Power of White Sapphire Gemstone in the USA
content	10126	/hessonite-in-the-usa-an-overview/	Hessonite in the USA - An Overview
content	10135	/gemstone-recommendation/	Gemstone Recommendation
content	10144	/data-base-integration-of-enquiry-with-downloadable-excel-file/	Data base Integration Of enquiry with downloadable excel file
content	10174	/buy-authentic-yellow-sapphire-online-in-uk/	Buy Authentic Yellow Sapphire Online In UK
content	10193	/discover-the-irresistible-and-incredible-magic-of-authentic-astrological-blue-sapphire-gemstone-in-uk/	Discover the irresistible and incredible magic of authentic astrological blue sapphire gemstone in UK
content	10206	/buy-authentic-ruby-online-in-uk/	Buy Authentic Ruby Online in UK
content	10214	/buy-100-authentic-pearls-online-in-uk/	Buy 100% Authentic Pearls Online In UK
content	10220	/buy-100-authentic-red-coral-online-in-uk/	Buy 100% Authentic Red Coral Online in UK
content	10227	/buy-100-authentic-white-sapphire-online-in-uk/	Buy 100% Authentic White Sapphire Online in UK
content	10236	/buy-100-authentic-hessonite-online-in-uk/	Buy 100% Authentic Hessonite Online in UK
content	10241	/buy-100-authentic-emerald-online-in-uk/	Buy 100% Authentic Emerald Online in UK
content	10248	/authentic-yellow-sapphire-online-in-canada/	Authentic Yellow Sapphire online in Canada
content	10254	/buy-authentic-blue-sapphire-online-in-canada/	Buy Authentic Blue Sapphire Online in Canada
content	10264	/buy-100-authentic-cats-eye-online-in-uk/	Buy 100% authentic Cat’s Eye online in UK
content	10271	/buy-100-authentic-ruby-online-in-canada/	Buy 100% Authentic Ruby Online in Canada
content	10276	/buy-100-authentic-white-sapphire-in-canada/	Buy 100% Authentic White Sapphire In Canada
content	10283	/buy-100-authentic-white-sapphire-online-in-london/	Buy 100% Authentic White Sapphire Online In London
content	10293	/buy-100-authentic-blue-sapphire-online-in-london/	Buy 100% Authentic Blue Sapphire Online In London
content	10298	/buy-100-authentic-yellow-sapphire-online-in-london/	Buy 100% Authentic Yellow Sapphire Online In London
content	10304	/buy-100-authentic-red-coral-online-in-canada/	Buy 100% Authentic Red Coral Online In Canada
content	10314	/buy-100-authentic-pearls-online-in-canada/	Buy 100% Authentic Pearls Online in Canada
content	10320	/buy-100-authentic-emerald-online-in-canada/	Buy 100% Authentic Emerald Online in Canada
content	10327	/buy-100-authentic-hessonite-online-in-canada/	Buy 100% Authentic Hessonite Online in Canada
content	10333	/cats-eye-gemstone-lehsunia-in-canada/	Cat’s Eye Gemstone (Lehsunia) in Canada
content	10340	/buy-100-authentic-ruby-gemstone-online-in-london/	Buy 100% Authentic Ruby Gemstone Online in London
content	10346	/buy-100-authentic-emerald-online-in-london/	Buy 100% Authentic Emerald Online In London
content	10356	/buy-100-natural-pearls-online-in-london/	Buy 100% Natural Pearls Online In London
content	10361	/buy-100-authentic-hessonite-online-in-london/	Buy 100% Authentic Hessonite Online In London
content	10366	/buy-100-authentic-red-coral-online-in-london/	Buy 100% Authentic Red Coral Online In London
content	10372	/buy-100-authentic-cats-eye-in-london/	Buy 100% Authentic Cat’s Eye in London
content	10453	/pure-vedic-science/	Pure Vedic Science
content	10467	/gemstone-recommendations-pure-vedic-science/	Gemstone Recommendations Pure Vedic Science
content	10682	/pure-vedic-gems-vedic-sciences/	Pure Vedic Gems Vedic Sciences
content	10684	/thank-you-pure-vedic-science/	Thank You Pure Vedic Science
content	10754	/gemstone-recommendation-by-date-of-birth/	Gemstone Recommendation By Date of Birth
content	10791	/gemstone-recommendation-date-of-birth/	Gemstone Recommendation Date of Birth
content	10793	/thank-you-pure-vedic-science-and-research-centre/	Thank You Pure Vedic Science and Research Centre
content	10802	/emerald-gemstone-panna-the-astrological-gem-of-mercury-and-its-profound-benefits/	Emerald Gemstone (Panna) The Astrological Gem of Mercury and Its Profound Benefits
content	10811	/red-coral-stone-moonga-the-comprehensive-benefits-of-wearing-the-gem-of-mars/	Red Coral Stone (Moonga) – The Comprehensive Benefits of Wearing the Gem of Mars
content	10820	/unlocking-prosperity-and-wisdom-the-significance-of-the-yellow-sapphire-gemstone-in-dubai/	Unlocking Prosperity and Wisdom: The Significance of the Yellow Sapphire Gemstone in Dubai
content	10831	/blue-sapphire-gemstone-in-dubai-significance-strength-and-fortune/	Blue Sapphire Gemstone in Dubai Significance Strength and Fortune
content	10850	/why-wear-pearl-moon-gemstone-astrological-benefits-healing-and-prosperity/	Why Wear Pearl Moon Gemstone: Astrological Benefits, Healing and Prosperity
content	10888	/blue-sapphire-gemstone-in-switzerland-a-gemstone-of-wisdom-grace-and-strength/	Blue sapphire gemstone in Switzerland A gemstone of Wisdom, Grace, and Strength
content	10917	/why-wear-white-sapphire-gemstone-venus-gemstone-astrological-benefits-healing-and-prosperity/	Why Wear White Sapphire Gemstone Venus Gemstone Astrological Benefits, Healing, and Prosperity
content	10926	/opal-upal-gemstone-venus-gemstone-ring/	Opal (Upal) Gemstone Venus Gemstone Ring
content	10934	/ruby-manikya-gemstone-wearing-solar-gemstone/	Ruby (Manikya) Gemstone Wearing Solar Gemstone
content	10960	/red-coral-moonga-gemstone-of-mars/	Red Coral (Moonga) Gemstone of Mars
